Termo;Classe_0;Classe_1;Classe_2
00;0.7985076962177716;0.9028677115420144;1.0986122886681098
00hs;0.7932306391169277;0.9295359586241757;1.0704414117014134
02;0.7767972098468703;0.8279664033688966;1.3040124407132758
03;0.7777045685880083;0.8286926725561693;1.2992829841302609
04;0.778494940463175;0.8292263452632667;1.2954651447506018
07;0.7791673134571776;0.8303854622897071;1.2903940367130147
072;0.7803787006434746;0.8300147649087395;1.2877531607341193
09;0.7802684899412649;0.8298301673468127;1.2885618951089712
0deiam;0.780158557549575;0.8304592960243741;1.2872491445665373
10;0.7817435951297971;0.8324857400999776;1.2773880158007571
100;0.7832982775542428;0.8328493161111276;1.2719869361338652
1000;0.7831899715680651;0.8326702028527346;1.2727482608756249
11;0.7827593392496325;0.8335045382548677;1.2718840099421465
12;0.7843063475041572;0.8320333383221279;1.271160333635084
123;0.784199173741851;0.8318594989539643;1.2719041045879287
124382;0.7840922518606;0.8316860949150904;1.2726473227566624
129;0.7839855809728768;0.8322686757646582;1.2714830958526646
13;0.7835600866566254;0.8322434178178754;1.2727636352020375
13h;0.7846267534244278;0.8319129415477242;1.270550701807635
13hs;0.7851596604447666;0.8317482925347186;1.269450733705443
13º;0.7850570808156856;0.8315840344019922;1.270154711207237
14;0.7840690971316959;0.833235973730627;1.268819159851039
14h;0.7837710721731913;0.8327462697468929;1.2708945670297511
14k;0.783672164506992;0.8332890106014641;1.2698157568780875
15;0.7847356564923348;0.8347976976229722;1.2630617206959425
1577075215267291140;0.7846364232015396;0.8353366359275824;1.2620143622158986
159;0.7851536200064484;0.8351721768671556;1.2609709489131975
15h;0.7850540672325623;0.8357102452148159;1.2599314579739807
16;0.7852714987723592;0.8364542735568206;1.2575135712539658
160;0.7851722737429672;0.8369903228861938;1.2564886290284183
163;0.7850732623800296;0.8375260850206272;1.255467500231787
164;0.7849744639936561;0.837359890397071;1.2561424918200204
18;0.7848385385621385;0.8409986269592163;1.2478246868547855
187;0.7853419365088375;0.8408310022301304;1.246847735999498
19;0.7846664539887649;0.841044583105572;1.2481863014679562
19992238102;0.7845707642116684;0.8408781280937684;1.2488413948421864
1djxxlbmvpkxz;0.7845707642116684;0.8408781280937684;1.2488413948421864
1o;0.7850698907506055;0.8407120480219531;1.2478697928538909
1turno;0.7849739032463596;0.8405463416224401;1.2485236013113097
1v55v5e;0.7849739032463596;0.8405463416224401;1.2485236013113097
1v6s9wm;0.7849739032463596;0.8405463416224401;1.2485236013113097
1ª;0.7848781161374896;0.8403810076332616;1.2491769825825123
1º;0.7848417801320308;0.842695448785752;1.2438343377510666
20;0.7810590528828252;0.8359606265840407;1.270622229876472
200;0.7807568225988284;0.8365568227561307;1.2700079381404696
20011349331;0.7807066529318902;0.8364684584569945;1.270371640635841
2003;0.7806565407280351;0.8363802031711369;1.2707352108997985
2014;0.7806064858885313;0.8362920566966079;1.2710986490284581
2017;0.7805065479087827;0.8361160893762304;1.271825129263824
2018;0.7802570554565742;0.8382582508094786;1.2672350011039024
2019;0.780158557549575;0.8384532411945399;1.2670373096995398
2020;0.7800602822804673;0.839020134633758;1.265926985118919
2021;0.7800112278992165;0.8393034608858305;1.2653734760872977
2022;0.7789535929502318;0.8352115335429383;1.2786121364496512
2022boca;0.7789535929502318;0.8352115335429383;1.2786121364496512
2022expectativa;0.7789535929502318;0.8352115335429383;1.2786121364496512
2022institutos;0.7789535929502318;0.8352115335429383;1.2786121364496512
2022participar;0.7789535929502318;0.8352115335429383;1.2786121364496512
2023;0.7786154267459575;0.835898365874048;1.277867823105962
2026;0.7784809058678973;0.8359140279321993;1.2782225921066883
2028;0.7784473418268919;0.8361114028464885;1.2778231109281164
2034;0.7784138041947677;0.8363087388116084;1.2774241903177619
21;0.7784010128812715;0.8363994590460659;1.2772332861558098
219;0.7783675886686534;0.836338846597484;1.2774837557876764
22;0.7778578775057774;0.8339549658054011;1.2850492373790294
222;0.7780026476833737;0.8339091684750604;1.2847365740366656
22meu;0.7780026476833737;0.8339091684750604;1.2847365740366656
22por;0.7780026476833737;0.8339091684750604;1.2847365740366656
23;0.7777130409743831;0.834463406202955;1.2841760900809094
24;0.7777045685880083;0.8341437095807235;1.2850206769204435
240;0.7776792066520459;0.8340981568723491;1.2852130401027237
242;0.7776285284218662;0.8340071398465831;1.2855976554920805
246;0.7776032121002617;0.8339616754719442;1.285789907727605
